Date,Stock_Symbol,Company_Name,Sector,Buy_Price,Current_Price,Quantity,Investment,Current_Value,Profit_Loss,Return_Percentage
2025-06-20,V,Visa,Finance,332.23,350.18,95.0,31561.85,33267.1,1705.25,5.4
2025-06-23,GOOGL,Alphabet,Technology,200.22,158.46,85.0,17018.7,13469.1,-3549.6,-20.86
2025-06-25,JPM,JPMorgan Chase,Finance,209.37,212.91,18.0,3768.66,3832.38,63.72,1.69
2025-06-27,JNJ,Johnson & Johnson,Healthcare,169.47,205.79,67.0,11354.49,13787.93,2433.44,21.43
2025-06-30,V,Visa,Finance,304.89,263.7,47.0,14329.83,12393.9,-1935.93,-13.51
2025-07-02,NVDA,NVIDIA,Technology,124.49,110.77,2.0,248.98,221.54,-27.44,-11.02
2025-07-05,KO,Coca-Cola,Consumer,75.06,85.07,43.0,3227.58,3658.01,430.43,13.34
2025-07-07,NVDA,NVIDIA,Technology,124.52,113.5,26.0,3237.52,2951.0,-286.52,-8.85
2025-07-10,GOOGL,Alphabet,Technology,162.2,176.2,60.0,9732.0,10572.0,840.0,8.63
2025-07-12,KO,Coca-Cola,Consumer,59.61,65.29,20.0,1192.2,1305.8,113.6,9.53
2025-07-15,AAPL,Apple,Technology,156.83,151.85,14.0,2195.62,2125.9,-69.72,-3.18
2025-07-17,GOOGL,Alphabet,Technology,166.49,159.26,66.0,10988.34,10511.16,-477.18,-4.34
2025-07-19,JPM,JPMorgan Chase,Finance,236.61,220.16,58.0,13723.38,12769.28,-954.1,-6.95
2025-07-22,NVDA,NVIDIA,Technology,133.54,102.4,52.0,6944.08,5324.8,-1619.28,-23.32
2025-07-24,KO,Coca-Cola,Consumer,76.77,72.79,60.0,4606.2,4367.4,-238.8,-5.18
2025-07-27,TSLA,Tesla,Automotive,251.67,295.33,5.0,1258.35,1476.65,218.3,17.35
2025-07-29,JPM,JPMorgan Chase,Finance,197.01,153.36,94.0,18518.94,14415.84,-4103.1,-22.16
2025-08-01,GOOGL,Alphabet,Technology,182.22,209.43,13.0,2368.86,2722.59,353.73,14.93
2025-08-03,MSFT,Microsoft,,422.05,391.5,17.0,7174.85,6655.5,-519.35,-7.24
2025-08-05,V,Visa,Finance,325.94,323.15,55.0,17926.7,17773.25,-153.45,-0.86
2025-08-08,KO,Coca-Cola,Consumer,60.03,76.81,23.0,1380.69,1766.63,385.94,27.95
2025-08-10,JNJ,Johnson & Johnson,Healthcare,184.9,144.59,1.0,184.9,144.59,-40.31,-21.8
2025-08-13,MSFT,Microsoft,Technology,387.21,310.4,89.0,34461.69,27625.6,-6836.09,-19.84
2025-08-15,V,Visa,Finance,395.63,435.61,61.0,24133.43,26572.21,2438.78,10.11
2025-08-18,JPM,JPMorgan Chase,Finance,235.61,233.16,93.0,21911.73,21683.88,-227.85,-1.04
2025-08-20,JPM,JPMorgan Chase,Finance,194.47,206.39,51.0,9917.97,10525.89,607.92,6.13
2025-08-23,TSLA,Tesla,Automotive,221.51,207.78,92.0,20378.92,19115.76,-1263.16,-6.2
2025-08-25,TSLA,Tesla,Automotive,219.56,202.28,62.0,13612.72,12541.36,-1071.36,-7.87
2025-08-27,AMZN,Amazon,Consumer,176.01,133.67,90.0,15840.9,12030.3,-3810.6,-24.06
2025-08-30,TSLA,Tesla,Automotive,248.01,209.63,94.0,23312.94,19705.22,-3607.72,-15.48
2025-09-01,TSLA,Tesla,Automotive,242.39,263.89,69.0,16724.91,18208.41,1483.5,8.87
2025-09-04,AMZN,Amazon,Consumer,168.4,161.0,19.0,3199.6,3059.0,-140.6,-4.39
2025-09-06,KO,Coca-Cola,Consumer,70.02,73.29,4.0,280.08,293.16,13.08,4.67
2025-09-09,V,Visa,Finance,396.61,503.43,92.0,36488.12,46315.56,9827.44,26.93
2025-09-11,AMZN,Amazon,Consumer,199.42,192.14,33.0,6580.86,6340.62,-240.24,-3.65
2025-09-13,AAPL,Apple,Technology,196.81,236.44,12.0,2361.72,2837.28,475.56,20.14
2025-09-16,GOOGL,Alphabet,Technology,191.82,212.6,43.0,8248.26,9141.8,893.54,10.83
2025-09-18,MSFT,Microsoft,Technology,361.91,394.5,87.0,31486.17,34321.5,2835.33,9.01
2025-09-21,AAPL,Apple,Technology,188.41,181.24,74.0,13942.34,13411.76,-530.58,-3.81
2025-09-23,KO,Coca-Cola,Consumer,66.65,59.54,7.0,466.55,416.78,-49.77,-10.67
2025-09-26,AMZN,Amazon,Consumer,206.28,194.23,75.0,15471.0,14567.25,-903.75,-5.84
2025-09-28,V,Visa,Finance,374.68,446.59,36.0,13488.48,16077.24,2588.76,19.19
2025-10-01,KO,Coca-Cola,Consumer,68.39,72.68,99.0,6770.61,7195.32,424.71,6.27
2025-10-03,AAPL,Apple,Technology,192.51,157.9,96.0,18480.96,15158.4,-3322.56,-17.98
2025-10-05,V,Visa,Finance,388.55,411.48,12.0,4662.6,4937.76,275.16,5.9
2025-10-08,AAPL,Apple,Technology,189.71,219.48,99.0,18781.29,21728.52,2947.23,15.69
2025-10-10,JNJ,Johnson & Johnson,Healthcare,168.58,175.98,84.0,14160.72,14782.32,621.6,4.39
2025-10-13,JNJ,Johnson & Johnson,Healthcare,165.55,205.7,49.0,8111.95,10079.3,1967.35,24.25
2025-10-15,AMZN,Amazon,Consumer,166.38,207.64,76.0,12644.88,15780.64,3135.76,24.8
2025-10-18,JNJ,Johnson & Johnson,Healthcare,165.51,210.62,,8606.52,10952.24,2345.72,27.26
2025-10-20,GOOGL,Alphabet,Technology,174.63,138.97,69.0,12049.47,9588.93,-2460.54,-20.42
2025-10-22,GOOGL,Alphabet,Technology,180.38,190.22,85.0,15332.3,16168.7,836.4,5.46
2025-10-25,AMZN,Amazon,Consumer,221.1,260.83,39.0,8622.9,10172.37,1549.47,17.97
2025-10-27,TSLA,Tesla,Automotive,249.58,195.09,95.0,23710.1,18533.55,-5176.55,-21.83
2025-10-30,KO,Coca-Cola,Consumer,68.77,85.15,75.0,5157.75,6386.25,1228.5,23.82
2025-11-01,MSFT,Microsoft,Technology,479.05,540.57,58.0,27784.9,31353.06,3568.16,12.84
2025-11-04,AAPL,Apple,Technology,158.46,126.18,13.0,2059.98,1640.34,-419.64,-20.37
2025-11-06,V,Visa,Finance,305.14,366.79,66.0,20139.24,24208.14,4068.9,20.2
2025-11-09,TSLA,Tesla,Automotive,251.0,220.45,8.0,2008.0,1763.6,-244.4,-12.17
2025-11-11,AAPL,Apple,Technology,200.54,176.51,71.0,14238.34,12532.21,-1706.13,-11.98
2025-11-13,JNJ,Johnson & Johnson,Healthcare,179.82,169.5,31.0,5574.42,5254.5,-319.92,-5.74
2025-11-16,GOOGL,Alphabet,Technology,189.55,200.38,91.0,17249.05,18234.58,985.53,5.71
2025-11-18,KO,Coca-Cola,Consumer,78.53,63.7,67.0,5261.51,4267.9,-993.61,-18.88
2025-11-21,MSFT,Microsoft,Technology,416.05,324.92,92.0,38276.6,29892.64,-8383.96,-21.9
2025-11-23,V,Visa,Finance,309.84,343.01,1.0,309.84,343.01,33.17,10.71
2025-11-26,GOOGL,Alphabet,Technology,179.38,229.46,63.0,11300.94,14455.98,3155.04,27.92
2025-11-28,AAPL,Apple,Technology,157.48,163.87,6.0,944.88,983.22,38.34,4.06
2025-11-30,KO,Coca-Cola,Consumer,59.76,76.7,61.0,3645.36,4678.7,1033.34,28.35
2025-12-03,TSLA,Tesla,Automotive,215.76,271.55,36.0,7767.36,9775.8,2008.44,25.86
2025-12-05,GOOGL,Alphabet,Technology,185.26,146.63,47.0,8707.22,6891.61,-1815.61,-20.85
2025-12-08,JNJ,Johnson & Johnson,Healthcare,160.13,146.03,1.0,160.13,146.03,-14.1,-8.81
2025-12-10,TSLA,Tesla,Automotive,264.77,254.53,87.0,23034.99,22144.11,-890.88,-3.87
2025-12-13,JNJ,Johnson & Johnson,Healthcare,196.8,251.37,16.0,3148.8,4021.92,873.12,27.73
2025-12-15,V,Visa,Finance,338.92,,8.0,2711.36,2192.72,-518.64,-19.13
2025-12-18,KO,Coca-Cola,Consumer,63.45,63.77,58.0,3680.1,3698.66,18.56,0.5
2025-12-20,MSFT,Microsoft,Technology,390.51,370.28,100.0,39051.0,37028.0,-2023.0,-5.18
2025-12-22,NVDA,NVIDIA,Technology,111.76,101.02,84.0,9387.84,8485.68,-902.16,-9.61
2025-12-25,GOOGL,Alphabet,Technology,191.93,244.21,69.0,13243.17,16850.49,3607.32,27.24
2025-12-27,JNJ,Johnson & Johnson,Healthcare,170.71,215.61,5.0,853.55,1078.05,224.5,26.3
2025-12-30,JPM,JPMorgan Chase,Finance,219.01,257.92,18.0,3942.18,4642.56,700.38,17.77
2026-01-01,AAPL,Apple,Technology,173.34,201.47,89.0,15427.26,17930.83,2503.57,16.23
2026-01-04,NVDA,NVIDIA,Technology,142.84,151.84,33.0,4713.72,5010.72,297.0,6.3
2026-01-06,MSFT,Microsoft,Technology,361.64,297.85,21.0,7594.44,6254.85,-1339.59,-17.64
2026-01-08,JPM,JPMorgan Chase,Finance,249.62,298.82,95.0,23713.9,28387.9,4674.0,19.71
2026-01-11,TSLA,Tesla,Automotive,287.25,303.19,53.0,15224.25,16069.07,844.82,5.55
2026-01-13,TSLA,Tesla,Automotive,269.28,257.92,85.0,22888.8,21923.2,-965.6,-4.22
2026-01-16,JNJ,Johnson & Johnson,Healthcare,155.53,198.26,77.0,11975.81,15266.02,3290.21,27.47
2026-01-18,AMZN,Amazon,Consumer,179.13,200.52,32.0,5732.16,6416.64,684.48,11.94
2026-01-21,MSFT,Microsoft,Technology,402.13,326.71,26.0,10455.38,8494.46,-1960.92,-18.76
2026-01-23,KO,Coca-Cola,Consumer,70.43,82.74,50.0,3521.5,4137.0,615.5,17.48
2026-01-26,AAPL,Apple,Technology,182.8,193.5,94.0,17183.2,18189.0,1005.8,5.85
2026-01-28,JNJ,Johnson & Johnson,Healthcare,179.72,182.24,23.0,4133.56,4191.52,57.96,1.4
2026-01-30,TSLA,Tesla,Automotive,259.02,294.57,51.0,13210.02,15023.07,1813.05,13.72
2026-02-02,JPM,JPMorgan Chase,Finance,200.46,151.95,38.0,7617.48,5774.1,-1843.38,-24.2
2026-02-04,MSFT,Microsoft,Technology,431.33,416.55,91.0,39251.03,37906.05,-1344.98,-3.43
2026-02-07,GOOGL,Alphabet,Technology,196.22,184.75,38.0,7456.36,7020.5,-435.86,-5.85
2026-02-09,AAPL,Apple,Technology,195.32,189.09,51.0,9961.32,9643.59,-317.73,-3.19
2026-02-12,AAPL,Apple,Technology,204.27,169.73,56.0,11439.12,9504.88,-1934.24,-16.91
2026-02-14,AAPL,Apple,Technology,179.57,160.18,88.0,15802.16,14095.84,-1706.32,-10.8
2026-02-16,TSLA,Tesla,Automotive,286.0,291.99,77.0,22022.0,22483.23,461.23,2.09
2026-02-19,GOOGL,Alphabet,Technology,176.96,177.5,80.0,14156.8,14200.0,43.2,0.31
2026-02-21,NVDA,NVIDIA,Technology,137.71,116.92,4.0,550.84,467.68,-83.16,-15.1
2026-02-24,V,Visa,Finance,340.72,419.38,27.0,9199.44,11323.26,2123.82,23.09
2026-02-26,MSFT,Microsoft,Technology,432.84,377.92,21.0,9089.64,7936.32,-1153.32,-12.69
2026-03-01,TSLA,Tesla,Automotive,238.38,224.36,22.0,5244.36,4935.92,-308.44,-5.88
2026-03-03,TSLA,Tesla,Automotive,253.65,264.79,12.0,3043.8,3177.48,133.68,4.39
2026-03-06,KO,Coca-Cola,Consumer,78.28,64.25,90.0,7045.2,5782.5,-1262.7,-17.92
2026-03-08,JNJ,Johnson & Johnson,Healthcare,,155.85,86.0,13209.6,13403.1,193.5,1.46
2026-03-10,V,Visa,Finance,389.23,489.06,61.0,23743.03,29832.66,6089.63,25.65
2026-03-13,AAPL,Apple,Technology,167.95,200.43,99.0,16627.05,19842.57,3215.52,19.34
2026-03-15,AMZN,Amazon,Consumer,178.0,169.77,86.0,15308.0,14600.22,-707.78,-4.62
2026-03-18,KO,Coca-Cola,Consumer,75.46,78.64,2.0,150.92,157.28,6.36,4.21
2026-03-20,KO,Coca-Cola,Consumer,60.27,53.57,7.0,421.89,374.99,-46.9,-11.12
2026-03-23,GOOGL,Alphabet,Technology,195.75,201.9,18.0,3523.5,3634.2,110.7,3.14
2026-03-25,KO,Coca-Cola,Consumer,66.94,64.83,64.0,4284.16,4149.12,-135.04,-3.15
2026-03-27,JNJ,Johnson & Johnson,Healthcare,187.46,159.39,39.0,7310.94,6216.21,-1094.73,-14.97
2026-03-30,JNJ,Johnson & Johnson,Healthcare,192.89,154.13,44.0,8487.16,6781.72,-1705.44,-20.09
2026-04-01,JNJ,Johnson & Johnson,Healthcare,195.5,210.45,68.0,13294.0,14310.6,1016.6,7.65
2026-04-04,KO,Coca-Cola,Consumer,76.07,77.91,100.0,7607.0,7791.0,184.0,2.42
2026-04-06,NVDA,NVIDIA,Technology,133.39,154.73,83.0,11071.37,12842.59,1771.22,16.0
2026-04-09,KO,Coca-Cola,Consumer,65.46,62.17,26.0,1701.96,1616.42,-85.54,-5.03
2026-04-11,MSFT,Microsoft,Technology,387.79,397.11,70.0,27145.3,27797.7,652.4,2.4
2026-04-14,TSLA,Tesla,Automotive,282.53,213.07,21.0,5933.13,4474.47,-1458.66,-24.58
2026-04-16,NVDA,NVIDIA,Technology,124.75,127.03,94.0,11726.5,11940.82,214.32,1.83
2026-04-18,V,Visa,Finance,391.66,311.03,31.0,12141.46,9641.93,-2499.53,-20.59
2026-04-21,V,Visa,Finance,370.68,481.32,6.0,2224.08,2887.92,663.84,29.85
2026-04-23,MSFT,Microsoft,Technology,429.58,538.94,79.0,33936.82,42576.26,8639.44,25.46
2026-04-26,NVDA,NVIDIA,Technology,148.53,151.49,51.0,7575.03,7725.99,150.96,1.99
2026-04-28,JNJ,Johnson & Johnson,Healthcare,186.47,194.73,26.0,4848.22,5062.98,214.76,4.43
2026-05-01,GOOGL,Alphabet,Technology,192.78,166.33,26.0,5012.28,4324.58,-687.7,-13.72
2026-05-03,NVDA,NVIDIA,Technology,138.23,118.84,20.0,2764.6,2376.8,-387.8,-14.03
2026-05-05,AAPL,Apple,Technology,181.61,206.85,14.0,2542.54,2895.9,353.36,13.9
2026-05-08,NVDA,NVIDIA,Technology,133.17,111.18,100.0,13317.0,11118.0,-2199.0,-16.51
2026-05-10,GOOGL,Alphabet,Technology,151.47,141.64,10.0,1514.7,1416.4,-98.3,-6.49
2026-05-13,TSLA,Tesla,Automotive,217.25,281.23,13.0,2824.25,3655.99,831.74,29.45
2026-05-15,V,Visa,Finance,382.54,340.48,73.0,27925.42,24855.04,-3070.38,-10.99
2026-05-18,AAPL,Apple,Technology,159.3,160.93,38.0,6053.4,6115.34,61.94,1.02
2026-05-20,JPM,JPMorgan Chase,Finance,244.86,198.01,69.0,16895.34,13662.69,-3232.65,-19.13
2026-05-23,MSFT,Microsoft,Technology,372.66,429.3,9.0,3353.94,3863.7,509.76,15.2
2026-05-25,MSFT,Microsoft,Technology,379.84,298.77,40.0,15193.6,11950.8,-3242.8,-21.34
2026-05-27,NVDA,NVIDIA,Technology,112.38,132.59,11.0,1236.18,1458.49,222.31,17.98
2026-05-30,JNJ,Johnson & Johnson,Healthcare,188.15,223.85,35.0,6585.25,7834.75,1249.5,18.97
2026-06-01,TSLA,Tesla,Automotive,226.48,199.22,78.0,17665.44,15539.16,-2126.28,-12.04
2026-06-04,KO,Coca-Cola,Consumer,78.57,72.59,42.0,3299.94,3048.78,-251.16,-7.61
2026-06-06,JNJ,Johnson & Johnson,Healthcare,184.61,184.35,14.0,2584.54,2580.9,-3.64,-0.14
2026-06-09,GOOGL,Alphabet,Technology,181.52,190.03,63.0,11435.76,11971.89,536.13,4.69
2026-06-11,AAPL,Apple,Technology,165.54,206.06,66.0,10925.64,13599.96,2674.32,24.48
2026-06-13,TSLA,Tesla,Automotive,280.49,306.67,51.0,14304.99,15640.17,1335.18,9.33
2026-06-16,NVDA,NVIDIA,Technology,147.15,161.16,72.0,10594.8,11603.52,1008.72,9.52
2026-06-18,KO,Coca-Cola,Consumer,62.42,74.07,29.0,1810.18,2148.03,337.85,18.66
2026-06-21,AAPL,Apple,Technology,181.81,225.74,36.0,6545.16,8126.64,1581.48,24.16
2026-06-23,NVDA,NVIDIA,Technology,139.84,159.26,27.0,3775.68,4300.02,524.34,13.89
2026-06-26,JPM,JPMorgan Chase,Finance,200.91,173.28,66.0,13260.06,11436.48,-1823.58,-13.75
2026-06-28,KO,Coca-Cola,Consumer,69.87,81.4,38.0,2655.06,3093.2,438.14,16.5
2026-07-01,AMZN,Amazon,Consumer,192.48,208.3,15.0,2887.2,3124.5,237.3,8.22
2026-07-03,V,Visa,Finance,313.24,274.43,76.0,23806.24,20856.68,-2949.56,-12.39
2026-07-05,MSFT,Microsoft,Technology,358.54,386.92,36.0,12907.44,13929.12,1021.68,7.92
2026-07-08,AMZN,Amazon,Consumer,207.65,224.15,20.0,4153.0,4483.0,330.0,7.95
2026-07-10,KO,Coca-Cola,Consumer,66.69,58.36,23.0,1533.87,1342.28,-191.59,-12.49
2026-07-13,KO,Coca-Cola,Consumer,79.39,66.24,13.0,1032.07,861.12,-170.95,-16.56
2026-07-15,V,Visa,Finance,350.62,380.88,60.0,21037.2,22852.8,1815.6,8.63
2026-07-18,AMZN,Amazon,Consumer,219.5,260.01,37.0,8121.5,9620.37,1498.87,18.46
2026-07-20,V,Visa,Finance,365.89,429.62,31.0,11342.59,13318.22,1975.63,17.42
2026-07-22,KO,Coca-Cola,Consumer,60.95,48.3,78.0,4754.1,3767.4,-986.7,-20.75
2026-07-25,V,Visa,Finance,385.75,482.53,1.0,385.75,482.53,96.78,25.09
2026-07-27,TSLA,Tesla,Automotive,286.36,346.89,54.0,15463.44,18732.06,3268.62,21.14
2026-07-30,JPM,JPMorgan Chase,Finance,253.41,311.3,55.0,13937.55,17121.5,3183.95,22.84
2026-08-01,GOOGL,Alphabet,Technology,179.79,174.3,73.0,13124.67,12723.9,-400.77,-3.05
2026-08-04,TSLA,Tesla,Automotive,237.64,283.16,26.0,6178.64,7362.16,1183.52,19.16
2026-08-06,JNJ,Johnson & Johnson,Healthcare,154.75,151.34,90.0,13927.5,13620.6,-306.9,-2.2
2026-08-09,NVDA,NVIDIA,Technology,124.01,116.67,34.0,4216.34,3966.78,-249.56,-5.92
2026-08-11,AAPL,Apple,Technology,184.7,141.86,51.0,9419.7,7234.86,-2184.84,-23.19
2026-08-13,NVDA,NVIDIA,Technology,117.38,120.21,70.0,8216.6,8414.7,198.1,2.41
2026-08-16,TSLA,Tesla,Automotive,281.11,266.86,63.0,17709.93,16812.18,-897.75,-5.07
2026-08-18,NVDA,NVIDIA,Technology,119.08,103.24,49.0,5834.92,5058.76,-776.16,-13.3
2026-08-21,JPM,JPMorgan Chase,Finance,257.1,257.73,20.0,5142.0,5154.6,12.6,0.25
2026-08-23,NVDA,NVIDIA,Technology,144.06,150.44,49.0,7058.94,7371.56,312.62,4.43
2026-08-26,JPM,JPMorgan Chase,Finance,231.44,182.12,87.0,20135.28,15844.44,-4290.84,-21.31
2026-08-28,GOOGL,Alphabet,Technology,159.77,198.74,32.0,5112.64,6359.68,1247.04,24.39
2026-08-31,AAPL,Apple,Technology,154.97,156.46,40.0,6198.8,6258.4,59.6,0.96
2025-02-18,V,Visa,Finance,298.98,256.93,8.0,2391.84,2055.44,-336.4,-14.06
2025-07-02,NVDA,NVIDIA,Technology,124.49,110.77,2.0,248.98,221.54,-27.44,-11.02
2026-01-26,AAPL,Apple,Technology,182.8,193.5,94.0,17183.2,18189.0,1005.8,5.85
